Offspring,Male,Female,Actual,F.ImmiOrNatal,GeneticR,PedigreeCategory
Ind0014,Ind0027,Ind0013,FALSE,Unknown,0.017738,NA
Ind0014,Ind0029,Ind0013,FALSE,Unknown,1e-06,NA
Ind0014,Ind0034,Ind0013,FALSE,Unknown,0.0318,NA
Ind0014,Ind0052,Ind0013,FALSE,Unknown,0.006854,NA
Ind0014,Ind0067,Ind0013,FALSE,Unknown,0.48829,PO
Ind0014,Ind0068,Ind0013,FALSE,Unknown,0.00919,NA
Ind0014,Ind0094,Ind0013,FALSE,Unknown,5e-06,NA
Ind0014,Ind0140,Ind0013,FALSE,Unknown,0.005376,NA
Ind0014,Ind0141,Ind0013,TRUE,Unknown,0.017582,NA
Ind0014,Ind0156,Ind0013,FALSE,Unknown,0.01049,NA
Ind0014,Ind0175,Ind0013,FALSE,Unknown,0.020039,NA
Ind0014,Ind0186,Ind0013,FALSE,Unknown,0.043982,NA
Ind0014,Ind0228,Ind0013,FALSE,Unknown,0.029468,NA
Ind0014,Ind0251,Ind0013,FALSE,Unknown,0.056503,NA
Ind0014,Ind0257,Ind0013,FALSE,Unknown,0.080807,NA
Ind0014,Ind0258,Ind0013,FALSE,Unknown,0.015128,NA
Ind0014,Ind0260,Ind0013,FALSE,Unknown,0.005144,NA
Ind0014,Ind0262,Ind0013,FALSE,Unknown,0,NA
Ind0014,Ind0274,Ind0013,FALSE,Unknown,0.003198,NA
Ind0014,Ind0282,Ind0013,FALSE,Unknown,0.007651,NA
Ind0014,Ind0286,Ind0013,FALSE,Unknown,0.001084,NA
Ind0014,Ind0290,Ind0013,FALSE,Unknown,0.021383,NA
Ind0014,Ind0297,Ind0013,FALSE,Unknown,0.021586,NA
Ind0014,Ind0301,Ind0013,FALSE,Unknown,0.018921,NA
Ind0014,Ind0332,Ind0013,FALSE,Unknown,0.006088,NA
Ind0014,Ind0365,Ind0013,FALSE,Unknown,0.003193,NA
Ind0015,Ind0001,Ind0317,FALSE,Unknown,2.7e-05,NA
Ind0015,Ind0026,Ind0317,FALSE,Unknown,1.3e-05,NA
Ind0015,Ind0027,Ind0317,FALSE,Unknown,3.4e-05,NA
Ind0015,Ind0029,Ind0317,FALSE,Unknown,0.012265,NA
Ind0015,Ind0034,Ind0317,FALSE,Unknown,6e-05,NA
Ind0015,Ind0044,Ind0317,FALSE,Unknown,9e-06,NA
Ind0015,Ind0052,Ind0317,FALSE,Unknown,3.7e-05,NA
Ind0015,Ind0057,Ind0317,FALSE,Unknown,0.006545,NA
Ind0015,Ind0067,Ind0317,FALSE,Unknown,0.010101,NA
Ind0015,Ind0068,Ind0317,FALSE,Unknown,0.007424,NA
Ind0015,Ind0080,Ind0317,FALSE,Unknown,0.032999,NA
Ind0015,Ind0094,Ind0317,FALSE,Unknown,0.029844,NA
Ind0015,Ind0117,Ind0317,FALSE,Unknown,0.020664,NA
Ind0015,Ind0120,Ind0317,FALSE,Unknown,0.007621,NA
Ind0015,Ind0140,Ind0317,FALSE,Unknown,0.000362,NA
Ind0015,Ind0141,Ind0317,FALSE,Unknown,0.00924,NA
Ind0015,Ind0150,Ind0317,FALSE,Unknown,0.029787,NA
Ind0015,Ind0156,Ind0317,FALSE,Unknown,0.006025,NA
Ind0015,Ind0170,Ind0317,FALSE,Unknown,0.017243,NA
Ind0015,Ind0175,Ind0317,FALSE,Unknown,0.002727,NA
Ind0015,Ind0186,Ind0317,FALSE,Unknown,7.4e-05,NA
Ind0015,Ind0228,Ind0317,FALSE,Unknown,0.002436,NA
Ind0015,Ind0231,Ind0317,FALSE,Unknown,0.004794,NA
Ind0015,Ind0251,Ind0317,FALSE,Unknown,4.7e-05,NA
Ind0015,Ind0255,Ind0317,FALSE,Unknown,2.1e-05,NA
Ind0015,Ind0257,Ind0317,FALSE,Unknown,5.6e-05,NA
Ind0015,Ind0258,Ind0317,FALSE,Unknown,0.000108,NA
Ind0015,Ind0260,Ind0317,FALSE,Unknown,0.000798,NA
Ind0015,Ind0262,Ind0317,FALSE,Unknown,0.03985,NA
Ind0015,Ind0274,Ind0317,FALSE,Unknown,0.001809,NA
Ind0015,Ind0282,Ind0317,FALSE,Unknown,0.015628,NA
Ind0015,Ind0286,Ind0317,FALSE,Unknown,0.01196,NA
Ind0015,Ind0290,Ind0317,FALSE,Unknown,0.007988,NA
Ind0015,Ind0297,Ind0317,FALSE,Unknown,0.027922,NA
Ind0015,Ind0301,Ind0317,FALSE,Unknown,4.4e-05,NA
Ind0015,Ind0332,Ind0317,TRUE,Unknown,0.008705,NA
Ind0015,Ind0364,Ind0317,FALSE,Unknown,4.3e-05,NA
Ind0015,Ind0365,Ind0317,FALSE,Unknown,0.004688,NA
Ind0015,Ind0366,Ind0317,FALSE,Unknown,5.1e-05,NA
Ind0015,Ind0369,Ind0317,FALSE,Unknown,0.000133,NA
Ind0021,Ind0027,Ind0214,FALSE,Unknown,0.017523,NA
Ind0021,Ind0029,Ind0214,FALSE,Unknown,0.017174,NA
Ind0021,Ind0034,Ind0214,FALSE,Unknown,0.001283,NA
Ind0021,Ind0052,Ind0214,FALSE,Unknown,1.7e-05,NA
Ind0021,Ind0067,Ind0214,FALSE,Unknown,0.010597,NA
Ind0021,Ind0068,Ind0214,FALSE,Unknown,0.013826,NA
Ind0021,Ind0094,Ind0214,FALSE,Unknown,0.009491,NA
Ind0021,Ind0120,Ind0214,FALSE,Unknown,0.008793,NA
Ind0021,Ind0140,Ind0214,FALSE,Unknown,3e-06,NA
Ind0021,Ind0141,Ind0214,FALSE,Unknown,0.021623,NA
Ind0021,Ind0156,Ind0214,FALSE,Unknown,0.009302,NA
Ind0021,Ind0170,Ind0214,FALSE,Unknown,0.015958,NA
Ind0021,Ind0175,Ind0214,FALSE,Unknown,0.010685,NA
Ind0021,Ind0186,Ind0214,FALSE,Unknown,0.017795,NA
Ind0021,Ind0228,Ind0214,FALSE,Unknown,0.021131,NA
Ind0021,Ind0251,Ind0214,FALSE,Unknown,2e-06,NA
Ind0021,Ind0257,Ind0214,FALSE,Unknown,0.009779,NA
Ind0021,Ind0258,Ind0214,TRUE,Unknown,1e-06,NA
Ind0021,Ind0260,Ind0214,FALSE,Unknown,1.8e-05,NA
Ind0021,Ind0262,Ind0214,FALSE,Unknown,0.00239,NA
Ind0021,Ind0274,Ind0214,FALSE,Unknown,0.0189,NA
Ind0021,Ind0282,Ind0214,FALSE,Unknown,1.5e-05,NA
Ind0021,Ind0286,Ind0214,FALSE,Unknown,0.007399,NA
Ind0021,Ind0290,Ind0214,FALSE,Unknown,0.484257,PO
Ind0021,Ind0297,Ind0214,FALSE,Unknown,1.5e-05,NA
Ind0021,Ind0301,Ind0214,FALSE,Unknown,0.000149,NA
Ind0021,Ind0332,Ind0214,FALSE,Unknown,0.00099,NA
Ind0021,Ind0364,Ind0214,FALSE,Unknown,0.480999,PO
Ind0021,Ind0365,Ind0214,FALSE,Unknown,0.009158,NA
Ind0021,Ind0366,Ind0214,FALSE,Unknown,3.9e-05,NA
Ind0024,Ind0001,Ind0022,FALSE,Immigrant,0.020482,NA
Ind0024,Ind0026,Ind0022,FALSE,Immigrant,0.008725,NA
Ind0024,Ind0027,Ind0022,FALSE,Immigrant,1e-06,NA
Ind0024,Ind0029,Ind0022,FALSE,Immigrant,0.035345,NA
Ind0024,Ind0040,Ind0022,FALSE,Immigrant,5e-06,NA
Ind0024,Ind0044,Ind0022,FALSE,Immigrant,0,NA
Ind0024,Ind0045,Ind0022,FALSE,Immigrant,0.01639,NA
Ind0024,Ind0052,Ind0022,FALSE,Immigrant,0.003533,NA
Ind0024,Ind0057,Ind0022,FALSE,Immigrant,0.000424,NA
Ind0024,Ind0067,Ind0022,FALSE,Immigrant,9.7e-05,NA
Ind0024,Ind0068,Ind0022,FALSE,Immigrant,5e-06,NA
Ind0024,Ind0080,Ind0022,FALSE,Immigrant,0.001163,NA
Ind0024,Ind0088,Ind0022,FALSE,Immigrant,0.002347,NA
Ind0024,Ind0094,Ind0022,FALSE,Immigrant,0.014592,NA
Ind0024,Ind0102,Ind0022,FALSE,Immigrant,0.002267,NA
Ind0024,Ind0108,Ind0022,FALSE,Immigrant,0,NA
Ind0024,Ind0117,Ind0022,FALSE,Immigrant,3e-05,NA
Ind0024,Ind0120,Ind0022,FALSE,Immigrant,0.004404,NA
Ind0024,Ind0129,Ind0022,FALSE,Immigrant,0.005643,NA
Ind0024,Ind0140,Ind0022,FALSE,Immigrant,0.043301,NA
Ind0024,Ind0141,Ind0022,FALSE,Immigrant,0.005735,NA
Ind0024,Ind0150,Ind0022,FALSE,Immigrant,5e-05,NA
Ind0024,Ind0170,Ind0022,FALSE,Immigrant,3e-06,NA
Ind0024,Ind0175,Ind0022,FALSE,Immigrant,8e-06,NA
Ind0024,Ind0186,Ind0022,FALSE,Immigrant,0.001669,NA
Ind0024,Ind0188,Ind0022,FALSE,Immigrant,0,NA
Ind0024,Ind0231,Ind0022,FALSE,Immigrant,2e-06,NA
Ind0024,Ind0251,Ind0022,FALSE,Immigrant,1e-06,NA
Ind0024,Ind0255,Ind0022,TRUE,Immigrant,2.7e-05,NA
Ind0024,Ind0257,Ind0022,FALSE,Immigrant,0.007128,NA
Ind0024,Ind0258,Ind0022,FALSE,Immigrant,9.2e-05,NA
Ind0024,Ind0260,Ind0022,FALSE,Immigrant,0.001138,NA
Ind0024,Ind0261,Ind0022,FALSE,Immigrant,4.7e-05,NA
Ind0024,Ind0273,Ind0022,FALSE,Immigrant,0,NA
Ind0024,Ind0276,Ind0022,FALSE,Immigrant,0.001296,NA
Ind0024,Ind0286,Ind0022,FALSE,Immigrant,7e-06,NA
Ind0024,Ind0287,Ind0022,FALSE,Immigrant,7e-06,NA
Ind0024,Ind0297,Ind0022,FALSE,Immigrant,0.022686,NA
Ind0024,Ind0301,Ind0022,FALSE,Immigrant,0.00154,NA
Ind0024,Ind0364,Ind0022,FALSE,Immigrant,0.000565,NA
Ind0024,Ind0366,Ind0022,FALSE,Immigrant,1e-06,NA
Ind0024,Ind0369,Ind0022,FALSE,Immigrant,1.3e-05,NA
Ind0024,Ind0372,Ind0022,FALSE,Immigrant,0.013864,NA
Ind0036,Ind0001,Ind0035,FALSE,Immigrant,6.2e-05,NA
Ind0036,Ind0026,Ind0035,FALSE,Immigrant,0,NA
Ind0036,Ind0027,Ind0035,FALSE,Immigrant,1e-06,NA
Ind0036,Ind0029,Ind0035,FALSE,Immigrant,1e-06,NA
Ind0036,Ind0044,Ind0035,FALSE,Immigrant,0,NA
Ind0036,Ind0045,Ind0035,FALSE,Immigrant,0.024115,NA
Ind0036,Ind0052,Ind0035,FALSE,Immigrant,0.019745,NA
Ind0036,Ind0057,Ind0035,FALSE,Immigrant,1e-06,NA
Ind0036,Ind0067,Ind0035,FALSE,Immigrant,0.029128,NA
Ind0036,Ind0068,Ind0035,FALSE,Immigrant,0.001659,NA
Ind0036,Ind0080,Ind0035,FALSE,Immigrant,0.023821,NA
Ind0036,Ind0094,Ind0035,FALSE,Immigrant,0.029415,NA
Ind0036,Ind0117,Ind0035,FALSE,Immigrant,0.027826,NA
Ind0036,Ind0120,Ind0035,TRUE,Immigrant,0.024129,NA
Ind0036,Ind0140,Ind0035,FALSE,Immigrant,0.017127,NA
Ind0036,Ind0141,Ind0035,FALSE,Immigrant,0.000375,NA
Ind0036,Ind0150,Ind0035,FALSE,Immigrant,0.012963,NA
Ind0036,Ind0156,Ind0035,FALSE,Immigrant,1e-06,NA
Ind0036,Ind0170,Ind0035,FALSE,Immigrant,2e-06,NA
Ind0036,Ind0175,Ind0035,FALSE,Immigrant,0.026767,NA
Ind0036,Ind0186,Ind0035,FALSE,Immigrant,7e-06,NA
Ind0036,Ind0231,Ind0035,FALSE,Immigrant,0.019754,NA
Ind0036,Ind0251,Ind0035,FALSE,Immigrant,2e-06,NA
Ind0036,Ind0255,Ind0035,FALSE,Immigrant,9e-06,NA
Ind0036,Ind0257,Ind0035,FALSE,Immigrant,8.3e-05,NA
Ind0036,Ind0258,Ind0035,FALSE,Immigrant,0.000128,NA
Ind0036,Ind0260,Ind0035,FALSE,Immigrant,0.003963,NA
Ind0036,Ind0261,Ind0035,FALSE,Immigrant,0.015724,NA
Ind0036,Ind0262,Ind0035,FALSE,Immigrant,0.04224,NA
Ind0036,Ind0274,Ind0035,FALSE,Immigrant,0.000459,NA
Ind0036,Ind0286,Ind0035,FALSE,Immigrant,3e-06,NA
Ind0036,Ind0290,Ind0035,FALSE,Immigrant,3e-06,NA
Ind0036,Ind0297,Ind0035,FALSE,Immigrant,0.012536,NA
Ind0036,Ind0301,Ind0035,FALSE,Immigrant,0.001589,NA
Ind0036,Ind0332,Ind0035,FALSE,Immigrant,0.002999,NA
Ind0036,Ind0364,Ind0035,FALSE,Immigrant,0.001156,NA
Ind0036,Ind0366,Ind0035,FALSE,Immigrant,9e-05,NA
Ind0036,Ind0369,Ind0035,FALSE,Immigrant,0.00504,NA
Ind0039,Ind0001,Ind0362,FALSE,Immigrant,0.000107,NA
Ind0039,Ind0026,Ind0362,FALSE,Immigrant,0.012424,NA
Ind0039,Ind0027,Ind0362,FALSE,Immigrant,0.004343,NA
Ind0039,Ind0029,Ind0362,FALSE,Immigrant,0.013177,NA
Ind0039,Ind0040,Ind0362,FALSE,Immigrant,0.006165,NA
Ind0039,Ind0044,Ind0362,FALSE,Immigrant,0.013382,NA
Ind0039,Ind0045,Ind0362,FALSE,Immigrant,0.015151,NA
Ind0039,Ind0052,Ind0362,FALSE,Immigrant,0.007783,NA
Ind0039,Ind0057,Ind0362,FALSE,Immigrant,2e-06,NA
Ind0039,Ind0067,Ind0362,FALSE,Immigrant,0.060822,NA
Ind0039,Ind0068,Ind0362,FALSE,Immigrant,3.3e-05,NA
Ind0039,Ind0080,Ind0362,FALSE,Immigrant,0.014491,NA
Ind0039,Ind0094,Ind0362,FALSE,Immigrant,3e-06,NA
Ind0039,Ind0108,Ind0362,FALSE,Immigrant,0.005736,NA
Ind0039,Ind0117,Ind0362,FALSE,Immigrant,0.001647,NA
Ind0039,Ind0120,Ind0362,TRUE,Immigrant,0.000304,NA
Ind0039,Ind0140,Ind0362,FALSE,Immigrant,0.01192,NA
Ind0039,Ind0141,Ind0362,FALSE,Immigrant,0.022705,NA
Ind0039,Ind0150,Ind0362,FALSE,Immigrant,1.1e-05,NA
Ind0039,Ind0156,Ind0362,FALSE,Immigrant,0.002134,NA
Ind0039,Ind0170,Ind0362,FALSE,Immigrant,8.1e-05,NA
Ind0039,Ind0175,Ind0362,FALSE,Immigrant,0.023373,NA
Ind0039,Ind0186,Ind0362,FALSE,Immigrant,0.003168,NA
Ind0039,Ind0188,Ind0362,FALSE,Immigrant,4.5e-05,NA
Ind0039,Ind0231,Ind0362,FALSE,Immigrant,0.034939,NA
Ind0039,Ind0251,Ind0362,FALSE,Immigrant,0.005089,NA
Ind0039,Ind0255,Ind0362,FALSE,Immigrant,0.012442,NA
Ind0039,Ind0257,Ind0362,FALSE,Immigrant,0.003849,NA
Ind0039,Ind0258,Ind0362,FALSE,Immigrant,2e-06,NA
Ind0039,Ind0260,Ind0362,FALSE,Immigrant,0.00782,NA
Ind0039,Ind0261,Ind0362,FALSE,Immigrant,0.031023,NA
Ind0039,Ind0262,Ind0362,FALSE,Immigrant,0,NA
Ind0039,Ind0273,Ind0362,FALSE,Immigrant,0.000576,NA
Ind0039,Ind0274,Ind0362,FALSE,Immigrant,3.4e-05,NA
Ind0039,Ind0286,Ind0362,FALSE,Immigrant,0.004452,NA
Ind0039,Ind0290,Ind0362,FALSE,Immigrant,0.047486,NA
Ind0039,Ind0297,Ind0362,FALSE,Immigrant,0.002428,NA
Ind0039,Ind0301,Ind0362,FALSE,Immigrant,0.026135,NA
Ind0039,Ind0332,Ind0362,FALSE,Immigrant,0.005503,NA
Ind0039,Ind0364,Ind0362,FALSE,Immigrant,0.022921,NA
Ind0039,Ind0366,Ind0362,FALSE,Immigrant,0.015286,NA
Ind0039,Ind0369,Ind0362,FALSE,Immigrant,0.002829,NA
Ind0040,Ind0027,Ind0306,FALSE,Immigrant,0.003782,NA
Ind0040,Ind0029,Ind0306,FALSE,Immigrant,0.018782,NA
Ind0040,Ind0034,Ind0306,FALSE,Immigrant,0.001898,NA
Ind0040,Ind0052,Ind0306,FALSE,Immigrant,0.000453,NA
Ind0040,Ind0067,Ind0306,FALSE,Immigrant,0.002604,NA
Ind0040,Ind0068,Ind0306,FALSE,Immigrant,1e-06,NA
Ind0040,Ind0094,Ind0306,FALSE,Immigrant,0.000175,NA
Ind0040,Ind0140,Ind0306,FALSE,Immigrant,6e-06,NA
Ind0040,Ind0141,Ind0306,FALSE,Immigrant,3.2e-05,NA
Ind0040,Ind0156,Ind0306,FALSE,Immigrant,0.00499,NA
Ind0040,Ind0186,Ind0306,FALSE,Immigrant,5e-06,NA
Ind0040,Ind0228,Ind0306,FALSE,Immigrant,0.025556,NA
Ind0040,Ind0251,Ind0306,FALSE,Immigrant,0.012781,NA
Ind0040,Ind0257,Ind0306,FALSE,Immigrant,1.1e-05,NA
Ind0040,Ind0258,Ind0306,TRUE,Immigrant,2e-05,NA
Ind0040,Ind0260,Ind0306,FALSE,Immigrant,0.009227,NA
Ind0040,Ind0262,Ind0306,FALSE,Immigrant,5e-06,NA
Ind0040,Ind0274,Ind0306,FALSE,Immigrant,0.022247,NA
Ind0040,Ind0282,Ind0306,FALSE,Immigrant,0.010534,NA
Ind0040,Ind0290,Ind0306,FALSE,Immigrant,0.019325,NA
Ind0040,Ind0297,Ind0306,FALSE,Immigrant,6.7e-05,NA
Ind0040,Ind0301,Ind0306,FALSE,Immigrant,0.021171,NA
Ind0040,Ind0332,Ind0306,FALSE,Immigrant,0.003502,NA
Ind0040,Ind0365,Ind0306,FALSE,Immigrant,0.009403,NA
Ind0043,Ind0027,Ind0359,FALSE,Unknown,0.015283,NA
Ind0043,Ind0029,Ind0359,FALSE,Unknown,0.020709,NA
Ind0043,Ind0034,Ind0359,FALSE,Unknown,0.017631,NA
Ind0043,Ind0052,Ind0359,FALSE,Unknown,0,NA
